"Location","Education","Years of Experience","Percentile","Salary"
"San Francisco","Bachelors Degree",3,"50th",123000
"San Francisco","Bachelors Degree",4,"50th",126000
"San Francisco","Bachelors Degree",5,"50th",129000
"San Francisco","Bachelors Degree",6,"50th",133000
"San Francisco","Bachelors Degree",7,"50th",136000
"San Francisco","Bachelors Degree",8,"50th",140000
"San Francisco","Bachelors Degree",9,"50th",143000
"San Francisco","Bachelors Degree",10,"50th",147000
"San Francisco","Graduate Degree",0,"50th",122000
"San Francisco","Graduate Degree",1,"50th",125000
"San Francisco","Graduate Degree",2,"50th",128000
"San Francisco","Graduate Degree",3,"50th",131000
"San Francisco","Graduate Degree",4,"50th",134000
"San Francisco","Graduate Degree",5,"50th",138000
"San Francisco","Graduate Degree",6,"50th",141000
"San Francisco","Graduate Degree",7,"50th",145000
"San Francisco","Graduate Degree",8,"50th",149000
"San Francisco","Graduate Degree",9,"50th",152000
"San Francisco","Graduate Degree",10,"50th",156000
