state,school_name,school_location,program_name,program_url
Missouri,Grantham University,"Kansas City, Missouri",Master of Science in Business Intelligence,http://rmi.grantham.edu/programs/master-of-science-in-business-intelligence
Missouri,Maryville University,"Saint Louis, Missouri",Online Master of Science in Business Data Analytics,http://online.maryville.edu/online-master-of-science-in-business-data-analytics/
Missouri,Missouri State University-Springfield,"Springfield, Missouri","Master of Science in Geospatial Sciences - Geography, Geology and Planning",http://graduate.missouristate.edu/catalog/prog_Geospatial_Sciences_Geography_Geology.htm
Missouri,Missouri University of Science and Technology,"Rolla, Missouri",Certificate in Big Data Management and Analytics,http://dce.mst.edu/credit/certificates/bigdatamanagementandanalytics/
Missouri,Rockhurst University,"Kansas City, Missouri",Data Science and Business Analytics Certificate,http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf
Missouri,Saint Louis University-Main Campus,"Saint Louis, Missouri",Applied Analytics Master's Degree,https://www.slu.edu/programs/graduate/applied-analytics-ms.php
Missouri,University of Missouri-Columbia,"Columbia, Missouri",Master of Science in Data Science and Analytics,http://dsa.missouri.edu/
Missouri,University of Missouri-Kansas City,"Kansas City, Missouri",PhD in Biomedical and Health Informatics,http://med.umkc.edu/iphd/
Missouri,University of Missouri-St Louis,"Saint Louis, Missouri",Graduate Certificate in Business Intelligence,http://mis.umsl.edu/M.S.%20in%20I.S./BICertificate.html
Missouri,Washington University in St Louis,"Saint Louis, Missouri",Master of Science in Customer Analytics,https://olin.wustl.edu/EN-US/academic-programs/specialized-masters-programs/ms-in-customer-analytics/Pages/default.aspx
Montana,Montana Tech of the University of Montana,"Butte, Montana",Graduate Certificate in Health Care Informatics,https://www.mtech.edu/clsps/hci/curriculum.html
Montana,The University of Montana,"Missoula, Montana",Master of Business Analytics,http://www.business.umt.edu/programs/graduate/msba-program/default.php
Nebraska,Bellevue University,"Bellevue, Nebraska",Master of Science-Business Analytics,http://www.bellevue.edu/degrees/graduate/business-analytics-ms/major-requirements.aspx
